Time (s),Temp (C),Degree of Cure,Cure Rate
240.0198,90.1342,0.07637874,0.000481044
241.02,90.134,0.076856352,0.000482339
242.0202,90.1343,0.077335418,0.000483808
243.0198,90.1342,0.077815442,0.000485067
244.02,90.135,0.078297282,0.00048661
245.0202,90.135,0.078780616,0.000488118
246.0198,90.1348,0.079265049,0.000489522
247.02,90.1351,0.079751232,0.000490996
248.0202,90.1354,0.080238863,0.000492458
249.0198,90.1355,0.080727687,0.00049396
250.02,90.1356,0.081218328,0.000495498
251.0202,90.1357,0.081710681,0.000497226
252.0198,90.1356,0.082204334,0.000498839
253.02,90.1359,0.082699954,0.000500526
254.0202,90.1358,0.083197165,0.000502133
255.0198,90.1361,0.083695731,0.000503803
256.02,90.1366,0.084196326,0.00050555
257.0202,90.1367,0.084698623,0.000507269
258.0198,90.1366,0.085202434,0.000509104
259.02,90.1368,0.085708448,0.000511023
260.0202,90.1372,0.086216298,0.000512877
261.0198,90.1372,0.086725741,0.000514796
262.02,90.1377,0.087237471,0.000516795
263.0202,90.138,0.087751119,0.000518733
264.0198,90.1378,0.088266426,0.00052072
265.02,90.1381,0.088784233,0.000522933
266.0202,90.1385,0.089304074,0.000524987
267.0198,90.1388,0.08982578,0.000527187
268.02,90.1388,0.090349936,0.000529344
269.0202,90.1388,0.090876547,0.000531825
270.0198,90.1394,0.091405696,0.000534708
271.02,90.1394,0.091937458,0.000537025
272.0202,90.1395,0.092471908,0.000539741
273.0198,90.1395,0.093009162,0.000542897
274.02,90.1397,0.093549319,0.000545505
275.0202,90.1403,0.094093153,0.000549217
276.0198,90.1402,0.094639432,0.000552018
277.02,90.1406,0.095189823,0.000555839
278.0202,90.1412,0.09574322,0.000558875
279.0198,90.1414,0.096299123,0.000561743
280.02,90.1416,0.096858209,0.00056462
281.0202,90.1416,0.097419926,0.000567278
282.0198,90.1422,0.097984676,0.000570682
283.02,90.1423,0.098552953,0.000573903
284.0202,90.143,0.099124864,0.000577572
285.0198,90.1432,0.099699541,0.000580715
286.02,90.1434,0.100278829,0.000585022
287.0202,90.1434,0.100861645,0.000588585
288.0198,90.1439,0.101447921,0.000592435
289.02,90.1441,0.102037324,0.000595238
290.0202,90.1445,0.102631878,0.00060044
291.0198,90.1445,0.103230733,0.000605146
292.02,90.1446,0.103834912,0.000610159
293.0202,90.1452,0.104443078,0.000614187
294.0198,90.1452,0.10505444,0.000617785
295.02,90.1455,0.105671548,0.000623217
296.0202,90.146,0.106293074,0.000627678
297.0198,90.1463,0.106919286,0.000632791
298.02,90.1469,0.107549587,0.000636541
299.0202,90.1468,0.108185281,0.000641987
300.0198,90.1474,0.108825776,0.000647224
301.02,90.1475,0.109470388,0.000650993
302.0202,90.1486,0.110119489,0.000655526
303.0198,90.1484,0.110773441,0.000660822
304.02,90.149,0.111433358,0.00066645
305.0202,90.1492,0.112098177,0.0006714
306.0198,90.1491,0.112768031,0.000676891
307.02,90.1497,0.113443764,0.000682422
308.0202,90.1502,0.114124146,0.000687118
309.0198,90.1508,0.114809097,0.000692146
310.02,90.1513,0.115500031,0.000697774
311.0202,90.1515,0.116196687,0.000703552
312.0198,90.1522,0.116898205,0.000708887
313.02,90.1526,0.117605356,0.00071415
314.0202,90.153,0.11831753,0.000719224
315.0198,90.1531,0.119034983,0.00072499
316.02,90.1537,0.119758207,0.000730383
317.0202,90.154,0.120487385,0.000736396
318.0198,90.1544,0.12122287,0.000743212
319.02,90.1546,0.121964441,0.000748912
320.0202,90.155,0.122712825,0.000755792
321.0198,90.1558,0.123466698,0.000761792
322.02,90.1562,0.124226725,0.000767551
323.0202,90.1562,0.124993443,0.000774308
324.0198,90.1569,0.125766362,0.000781038
325.02,90.1571,0.126545253,0.000786601
326.0202,90.1579,0.127329426,0.000791936
327.0198,90.1584,0.12811959,0.000798464
328.02,90.1588,0.12891695,0.000805254
329.0202,90.1595,0.129719787,0.000810784
330.0198,90.1597,0.130529455,0.000818173
331.02,90.1602,0.131346176,0.000824806
332.0202,90.1607,0.132168955,0.000830924
333.0198,90.1614,0.132997681,0.000837432
334.02,90.1616,0.13383437,0.000844971
335.0202,90.162,0.134678234,0.000852217
336.0198,90.1626,0.135527652,0.000858341
337.02,90.1631,0.13638438,0.000865209
338.0202,90.1636,0.137247301,0.000871463
339.0198,90.1642,0.138116823,0.000878657
340.02,90.1649,0.138994449,0.000886313
341.0202,90.1656,0.139879171,0.000893481
342.0198,90.1661,0.140769192,0.00089937
